SKU,DKS_Blr_BGRoad_001,DKS_Blr_btmlayout_001,DKS_Blr_HSRlayout_001,DKS_Blr_kaggdaspura_001,DKS_Blr_kalyannagar_001,DKS_Blr_Marathahalli_001,DKS_Blr_Sheshadripurm_001,DKS_Blr_varthur_001,DKS_Blr_whitefield_001
CFOWF0155SH,0,1,3,2,4,0,0,1,0
CFOTR0024DR,0,1,0,2,3,0,0,0,0
CLILI0009IN,0,0,0,0,0,0,0,0,0
CFODF0008MA,2,0,2,4,2,1,0,1,0
CFOTR0001MO,3,0,0,2,2,0,0,0,0
DTRJT0053JH,6,2,0,0,6,0,0,0,0
DFODF0003HN,0,0,2,0,3,0,0,0,0
CFOWF0002VVD,4,0,0,1,1,0,0,0,0
CFOTR0002BOL,0,0,0,3,3,1,1,1,0
DTRBO0022PG,0,0,0,0,3,0,2,0,0
DSWJC0001VIVPH,1,0,0,6,10,0,0,0,0
CFOWF0121MO,1,0,5,1,0,0,0,1,0
CFODF0010RC,0,0,2,3,2,1,0,0,0
DHEHS0013BOL,0,0,0,5,0,0,1,0,0
CFOTR0018CA,1,0,1,0,4,0,0,0,0
CFODF0004ND,3,0,3,1,0,2,0,3,0
CFODF0013RC,3,0,0,0,4,0,0,0,0
CFODF0025MO,4,0,4,0,3,0,1,0,0
DTRJT0062KK,1,1,0,2,0,0,2,0,0
DTRBO0002DO,0,0,1,2,0,0,0,2,0
DSWEEM0001INTPH,3,0,0,5,3,0,0,2,0
DSWGS0001VENPH,3,0,0,4,1,0,0,0,0
DFOWF0050PG,0,0,0,0,0,0,0,0,0
DFODF0007PG,3,4,0,0,4,0,0,2,0
CFOWF0109WH,3,0,1,0,0,0,0,0,0
CFOWF0152SH,0,2,2,0,0,0,0,0,0
CFODF0028MO,3,0,0,0,0,1,0,0,0
DSWJC0001PCPH,4,0,0,7,0,0,0,1,0
CLILI0003IN,0,0,0,3,2,0,0,1,0
CFOWF0119MO,0,0,1,0,2,0,0,0,0
CFOTR0010MO,0,0,0,0,0,0,0,0,0
CFOWF0005RC,4,0,0,2,0,0,0,1,0
CFODF0014SH,2,0,0,4,0,1,0,2,0
DTRBC0004SM,0,5,0,3,0,0,0,0,0
DFODF0017HN,0,0,0,0,0,0,0,1,0
CLILI0003PPT,0,1,0,3,0,0,0,0,0
CFOWF0004AL,2,0,9,0,0,0,0,0,0
CFOWF0069BT,0,1,4,2,4,0,1,0,0
CFOWF0144MO,0,1,0,1,0,0,0,0,0
CFODF0028RC,3,2,0,3,0,0,1,0,0
CFODF0117MO,0,0,0,0,0,0,0,0,0
CFODF0003WH,0,0,0,0,0,0,0,0,0
CFODF0019MO,0,4,1,0,3,0,1,0,0
DTRJT0065JH,3,1,0,0,2,2,0,3,0
DTRJT0008CC,0,2,0,1,0,0,1,0,0
DTRBC0001SM,0,2,0,3,0,0,0,0,0
DSWSK0002VIRPH,3,0,0,4,2,0,0,0,0
DHEHS0001HN,4,0,0,0,0,0,0,0,0
DFOWF0028SM,0,0,0,0,0,0,0,0,0
CFOWF0007FX,0,0,0,0,0,0,0,0,0
CFOTR0021DR,1,0,0,0,0,0,0,0,0
CFODF0007MA,1,0,0,0,2,0,0,3,0
DFOFS0003MB,3,0,4,3,3,0,0,0,0
CFOWF0008RC,0,1,0,1,0,0,0,0,0
CFOWF0162WH,0,0,2,0,0,0,0,0,0
CFOTR0020TE,2,0,0,1,0,0,1,1,0
CFOTR0002DR,0,0,1,0,1,0,0,0,0
CFODF0025RC,0,0,2,0,0,1,0,0,0
DTRJT0003KIT,0,0,0,0,0,0,0,0,0
DTRDT0002PG,2,0,2,2,0,0,0,0,0
DTRDT0001DR,2,2,0,0,1,0,1,1,0
DTRJT0009DR,0,0,0,0,0,0,1,0,0
DTRBO0030PG,0,2,0,2,0,0,0,1,0
DSW0021VIVPH,5,0,0,4,0,0,0,0,0
DPCTF0005MSDPH,2,0,0,5,4,0,0,0,0
DFODF0028DR,0,1,1,2,2,0,0,1,0
DAPCL0006SKT,3,4,1,2,7,1,2,2,0
CFOWF0157MO,0,0,0,0,0,0,0,0,0
CFOTR0012MO,0,0,0,0,0,0,0,0,0
CFOWF0008AL,0,0,0,4,0,0,0,0,0
CFODF0005MA,0,1,0,2,0,0,0,2,0
DTRJT0002DO,0,0,1,0,0,0,0,0,0
DTRJT0015CC,2,1,0,4,3,0,0,0,0
DSWSK0002ZOEPH,4,0,0,5,0,0,0,0,0
DFODF0058RC,0,0,0,1,0,0,0,0,0
CFOWF0113WH,1,0,3,0,0,0,3,0,0
CFOWF0010RC,0,0,1,0,0,0,0,0,0
CFOWF0009RC,0,0,0,2,3,0,0,1,0
CFODF0120MO,0,0,0,0,0,0,0,0,0
CFODF0030RC,1,0,0,2,2,0,0,0,0
DTRJT0017CC,1,0,1,0,0,0,0,0,0
DTRJT0004CC,0,0,0,0,0,0,0,0,0
DTRJT0009CC,1,0,0,1,0,1,0,0,0
DTRBC0003SM,2,1,0,2,4,1,0,0,0
DTOST0020SKT,1,0,2,0,0,0,0,0,0
DPCTF0001SAVPH,0,0,0,4,1,0,0,0,0
DHEHE0014BS,0,1,1,2,0,1,0,0,0
CFOTR0053DR,2,0,0,2,0,0,0,1,0
CLILI0005EP,0,0,0,1,0,1,0,0,0
CFOTR0022DR,0,0,0,1,2,0,0,0,0
CFOWF0004SUD,0,0,0,7,0,0,0,0,0
CLILI0002EP,0,0,0,1,0,0,0,0,0
CFODF0018RC,0,1,1,0,0,0,0,0,0
DTRDT0034GN,0,2,0,2,5,0,0,0,0
DTRBC014DR,2,2,0,0,2,0,0,1,0
DSWSK0001VQLPH,3,0,0,3,2,0,0,3,0
DHEHS0010BOL,0,0,0,0,0,0,0,0,0
DFODF0069RC,1,0,0,2,0,1,0,0,0
CPCDE0001AREPH,2,0,0,3,0,0,0,0,0
CFOTR0016SG,1,1,2,1,3,0,1,0,0
CFOWF0104WH,0,0,0,0,4,1,0,0,0
CFODF0048MO,1,0,0,1,0,0,1,1,0
DTRJT0039DR,1,4,0,2,2,2,4,3,0
DTRJT0011CC,0,0,0,1,0,0,0,1,0
DTRJT0003CC,0,0,2,2,0,0,0,0,0
DSWSK0006INTPH,2,0,0,3,2,0,0,0,0
DSWEEM0002VIRPH,3,0,0,2,2,0,0,1,0
DSWSK0001ZOEPH,2,0,0,3,3,0,0,0,0
DFODF0126RC,1,1,1,2,0,0,0,0,0
DFODF0032HN,2,0,0,0,0,0,0,0,0
DFODF0009VO,1,1,0,1,0,0,1,1,0
DFODF0030RC,0,0,1,0,0,0,0,0,0
CFOWF0075BT,1,1,0,5,4,0,0,2,0
CLILI0001DR,3,0,0,0,4,1,0,0,0
CFOWF0134MO,1,1,2,0,0,0,0,3,0
CFOWF0092BT,0,0,1,1,0,0,0,0,0
CFOWF0001VVD,4,0,0,0,0,0,0,0,0
CFOWF0064SH,1,0,0,1,2,0,1,0,0
CFOWF0033MO,1,0,0,2,0,0,0,0,0
CCOHA0002SKT,0,1,0,0,3,0,1,0,0
CFODF0003MO,3,0,1,0,0,0,0,0,0
CFODF0001BOL,0,2,0,0,3,0,1,0,0
DTRDT0047GN,3,3,0,0,0,0,1,2,0
DTRBO0001CC,0,0,0,0,0,0,0,2,0
DTRBC0006DR,1,0,0,0,0,0,0,0,0
DTRBO0027PG,2,0,0,0,0,0,0,0,0
DTRBO0049GD,2,0,0,7,3,1,0,1,0
DPCTF0004MSDPH,0,0,0,5,4,0,0,1,0
